geo_accession,target
GSM2843099,tumor
GSM2843100,mucosa
GSM2843101,tumor
GSM2843102,mucosa
GSM2843103,mucosa
GSM2843104,tumor
GSM2843105,mucosa
GSM2843106,tumor
GSM2843107,mucosa
GSM2843108,mucosa
GSM2843109,mucosa
GSM2843110,tumor
GSM2843111,mucosa
GSM2843112,mucosa
GSM2843113,tumor
GSM2843114,mucosa
GSM2843115,mucosa
GSM2843116,mucosa
GSM2843117,tumor
GSM2843118,mucosa
GSM2843119,tumor
GSM2843120,mucosa
GSM2843121,tumor
GSM2843122,mucosa
GSM2843123,tumor
GSM2843124,tumor
GSM2843125,mucosa
GSM2843126,mucosa
GSM2843127,tumor
GSM2843128,mucosa
GSM2843129,tumor
GSM2843130,mucosa
GSM2843131,tumor
GSM2843132,mucosa
GSM2843133,tumor
GSM2843134,mucosa
GSM2843135,tumor
GSM2843136,mucosa
GSM2843137,tumor
GSM2843138,mucosa
GSM2843139,tumor
GSM2843140,mucosa
GSM2843141,mucosa
GSM2843142,tumor
GSM2843143,mucosa
GSM2843144,mucosa
GSM2843145,tumor
GSM2843146,mucosa
GSM2843147,tumor
GSM2843148,mucosa
GSM2843149,tumor
GSM2843150,mucosa
GSM2843151,mucosa
GSM2843152,tumor
GSM2843153,mucosa
GSM2843154,tumor
GSM2843155,mucosa
GSM2843156,tumor
GSM2843157,mucosa
GSM2843158,tumor
GSM2843159,mucosa
GSM2843160,tumor
GSM2843161,mucosa
GSM2843162,tumor
GSM2843163,mucosa
GSM2843164,mucosa
GSM2843165,tumor
GSM2843166,mucosa
GSM2843167,mucosa
GSM2843168,tumor
GSM2843169,mucosa
GSM2843170,tumor
GSM2843171,mucosa
GSM2843172,mucosa
GSM2843173,tumor
GSM2843174,mucosa
GSM2843175,tumor
GSM2843176,mucosa
GSM2843177,mucosa
GSM2843178,mucosa
GSM2843179,tumor
GSM2843180,mucosa
GSM2843181,mucosa
GSM2843182,tumor
GSM2843183,mucosa
GSM2843184,tumor
GSM2843185,mucosa
GSM2843186,tumor
GSM2843187,mucosa
GSM2843188,mucosa
GSM2843189,mucosa
GSM2843190,mucosa
GSM2843191,tumor
GSM2843192,mucosa
GSM2843193,tumor
GSM2843194,mucosa
GSM2843195,mucosa
GSM2843196,tumor
GSM2843197,tumor
GSM2843198,mucosa
GSM2843199,tumor
GSM2843200,mucosa
GSM2843201,tumor
GSM2843202,mucosa
GSM2843203,mucosa
GSM2843204,mucosa
GSM2843205,tumor
GSM2843206,mucosa
GSM2843207,tumor
GSM2843208,mucosa
GSM2843209,mucosa
GSM2843210,tumor
GSM2843211,mucosa
GSM2843212,mucosa
GSM2843213,tumor
GSM2843214,mucosa
GSM2843215,mucosa
GSM2843216,mucosa
GSM2843217,mucosa
GSM2843218,tumor
GSM2843219,mucosa
GSM2843220,mucosa
GSM2843221,mucosa
GSM2843222,tumor
GSM2843223,mucosa
GSM2843224,tumor
GSM2843225,mucosa
GSM2843226,tumor
GSM2843227,mucosa
GSM2843228,tumor
GSM2843229,mucosa
GSM2843230,tumor
GSM2843231,mucosa
GSM2843232,mucosa
GSM2843233,mucosa
GSM2843234,mucosa
GSM2843235,mucosa
GSM2843236,mucosa
GSM2843237,mucosa
GSM2843238,mucosa
GSM2843239,mucosa
GSM2843240,tumor
GSM2843241,mucosa
GSM2843242,mucosa
GSM2843243,tumor
GSM2843244,mucosa
GSM2843245,tumor
GSM2843246,mucosa
GSM2843247,tumor
GSM2843248,mucosa
GSM2843249,tumor
GSM2843250,mucosa
GSM2843251,tumor
GSM2843252,mucosa
GSM2843253,tumor
GSM2843254,mucosa
GSM2843255,tumor
GSM2843256,mucosa
GSM2843257,tumor
GSM2843258,mucosa
GSM2843259,tumor
GSM2843260,mucosa
GSM2843261,tumor
GSM2843262,mucosa
GSM2843263,tumor
GSM2843264,mucosa
GSM2843265,tumor
GSM2843266,mucosa
GSM2843267,tumor
GSM2843268,mucosa
GSM2843269,tumor
GSM2843270,mucosa
GSM2843271,tumor
GSM2843272,mucosa
GSM2843273,tumor
GSM2843274,mucosa
GSM2843275,tumor
GSM2843276,mucosa
GSM2843277,mucosa
GSM2843278,tumor
GSM2843279,mucosa
GSM2843280,tumor
GSM2843281,mucosa
GSM2843282,tumor
GSM2843283,mucosa
GSM2843284,mucosa
GSM2843285,tumor
GSM2843286,mucosa
GSM2843287,mucosa
GSM2843288,tumor
GSM2843289,mucosa
GSM2843290,mucosa
GSM2843291,tumor
GSM2843292,mucosa
