geo_accession,target
GSM277495,Normal
GSM277496,tumor
GSM277497,Normal
GSM277498,tumor
GSM277499,Normal
GSM277500,tumor
GSM277501,Normal
GSM277502,tumor
GSM277503,Normal
GSM277504,tumor
GSM277505,Normal
GSM277506,tumor
GSM277507,Normal
GSM277508,tumor
GSM277509,Normal
GSM277510,tumor
GSM277511,Normal
GSM277512,tumor
GSM277513,Normal
GSM277514,tumor
GSM277515,Normal
GSM277516,tumor
GSM277517,Normal
GSM277518,tumor
GSM277519,Normal
GSM277520,tumor
GSM277521,Normal
GSM277522,tumor
GSM277523,Normal
GSM277524,tumor
GSM277525,Normal
GSM277526,tumor
GSM277527,Normal
GSM277528,tumor
GSM277529,Normal
GSM277530,tumor
GSM277531,Normal
GSM277532,tumor
GSM277533,Normal
GSM277534,tumor
GSM277535,Normal
GSM277536,tumor
GSM277537,Normal
GSM277538,tumor
GSM277539,Normal
GSM277540,tumor
GSM277541,tumor
GSM277542,Normal
