geo_accession,target
GSM1077598,0
GSM1077599,0
GSM1077600,0
GSM1077601,0
GSM1077602,0
GSM1077603,0
GSM1077604,0
GSM1077605,0
GSM1077606,0
GSM1077607,0
GSM1077608,0
GSM1077609,0
GSM1077610,0
GSM1077611,0
GSM1077612,0
GSM1077613,0
GSM1077614,0
GSM1077615,0
GSM1077616,0
GSM1077617,0
GSM1077618,0
GSM1077619,0
GSM1077620,0
GSM1077621,0
GSM1077622,0
GSM1077623,0
GSM1077624,0
GSM1077625,0
GSM1077626,0
GSM1077627,0
GSM1077628,0
GSM1077629,0
GSM1077630,0
GSM1077631,0
GSM1077632,0
GSM1077633,0
GSM1077634,0
GSM1077635,0
GSM1077636,0
GSM1077637,0
GSM1077638,0
GSM1077639,0
GSM1077640,0
GSM1077641,0
GSM1077642,0
GSM1077643,0
GSM1077644,0
GSM1077645,0
GSM1077646,0
GSM1077647,0
GSM1077746,1
GSM1077747,1
GSM1077748,1
GSM1077749,1
GSM1077750,1
GSM1077751,1
GSM1077752,1
GSM1077753,1
GSM1077754,1
GSM1077755,1
GSM1077756,1
GSM1077757,1
GSM1077758,1
GSM1077759,1
GSM1077760,1
GSM1077761,1
GSM1077762,1
GSM1077763,1
GSM1077764,1
GSM1077765,1
GSM1077766,1
GSM1077767,1
GSM1077768,1
GSM1077769,1
GSM1077770,1
GSM1077771,1
GSM1077772,1
GSM1077773,1
GSM1077774,1
GSM1077775,1
GSM1077776,1
GSM1077777,1
GSM1077778,1
GSM1077779,1
GSM1077780,1
GSM1077781,1
GSM1077782,1
GSM1077783,1
GSM1077784,1
GSM1077785,1
GSM1077786,1
GSM1077787,1
GSM1077788,1
GSM1077789,1
GSM1077790,1
GSM1077791,1
GSM1077792,1
GSM1077793,1
GSM1077794,1
GSM1077795,1
GSM1077796,1
GSM1077797,1
GSM1077798,1
GSM1077799,1
GSM1077800,1
GSM1077801,1
GSM1077802,1
GSM1077803,1
GSM1077804,1
GSM1077805,1
GSM1077806,1
GSM1077807,1
GSM1077808,1
GSM1077809,1
GSM1077810,1
GSM1077811,1
GSM1077812,1
GSM1077813,1
GSM1077814,1
GSM1077815,1
GSM1077816,1
GSM1077817,1
GSM1077818,1
GSM1077819,1
GSM1077820,1
GSM1077821,1
GSM1077822,1
GSM1077823,1
GSM1077824,1
GSM1077825,1
GSM1077826,1
GSM1077827,1
GSM1077828,1
GSM1077829,1
GSM1077830,1
GSM1077831,1
GSM1077832,1
GSM1077833,1
GSM1077834,1
GSM1077835,1
GSM1077836,1
GSM1077837,1
GSM1077838,1
GSM1077839,1
GSM1077840,1
GSM1077841,1
GSM1077842,1
GSM1077843,1
