geo_accession,target
GSM1923670,1
GSM1923671,0
GSM1923672,1
GSM1923673,0
GSM1923674,1
GSM1923675,0
GSM1923676,1
GSM1923677,0
GSM1923678,1
GSM1923679,0
GSM1923680,1
GSM1923681,0
GSM1923682,1
GSM1923683,0
GSM1923684,1
GSM1923685,0
GSM1923686,1
GSM1923687,0
GSM1923688,1
GSM1923689,0
GSM1923690,1
GSM1923691,0
GSM1923692,1
GSM1923693,0
GSM1923694,1
GSM1923695,0
GSM1923696,1
GSM1923697,0
GSM1923698,1
GSM1923699,0
GSM1923700,1
GSM1923701,0
GSM1923702,1
GSM1923703,0
GSM1923704,1
GSM1923705,0
GSM1923706,1
GSM1923707,0
GSM1923708,1
GSM1923709,0
GSM1923710,1
GSM1923711,0
GSM1923712,1
GSM1923713,0
GSM1923714,1
GSM1923715,0
GSM1923716,1
GSM1923717,0
GSM1923718,1
GSM1923719,0
GSM1923720,1
GSM1923721,0
GSM1923722,1
GSM1923723,0
GSM1923724,1
GSM1923725,0
GSM1923726,1
GSM1923727,0
GSM1923728,1
GSM1923729,0
