geo_accession,target
GSM615865,Colorectal Adenocarinoma
GSM615866,Colorectal Adenocarinoma
GSM615867,Colorectal Adenocarinoma
GSM615868,Colorectal Adenocarinoma
GSM615869,Colorectal Adenocarinoma
GSM615870,Colorectal Adenocarinoma
GSM615871,Colorectal Adenocarinoma
GSM615872,Colorectal Adenocarinoma
GSM615873,Colorectal Adenocarinoma
GSM615874,Colorectal Adenocarinoma
GSM615875,Colorectal Adenocarinoma
GSM615876,Colorectal Adenocarinoma
GSM615877,Colorectal Adenocarinoma
GSM615878,Colorectal Adenocarinoma
GSM615879,Colorectal Adenocarinoma
GSM615880,Colorectal Adenocarinoma
GSM615881,Colorectal Adenocarinoma
GSM615882,Colorectal Adenocarinoma
GSM615883,Colorectal Adenocarinoma
GSM615884,Colorectal Adenocarinoma
GSM615885,Colorectal Adenocarinoma
GSM615886,Colorectal Adenocarinoma
GSM615887,Colorectal Adenocarinoma
GSM615888,Colorectal Adenocarinoma
GSM615889,Colorectal Adenocarinoma
GSM615890,Colorectal Adenocarinoma
GSM615891,non-tumor
GSM615892,non-tumor
GSM615893,non-tumor
GSM615894,non-tumor
GSM615895,non-tumor
GSM615896,non-tumor
GSM615897,non-tumor
GSM615898,non-tumor
GSM615899,non-tumor
GSM615900,non-tumor
GSM615901,non-tumor
GSM615902,non-tumor
GSM615903,non-tumor
GSM615904,non-tumor
GSM615905,non-tumor
GSM615906,non-tumor
GSM615907,non-tumor
GSM615908,non-tumor
GSM615909,non-tumor
GSM615910,non-tumor
GSM615911,non-tumor
GSM615912,non-tumor
GSM615913,non-tumor
GSM615914,non-tumor
GSM615915,non-tumor
GSM615916,non-tumor
