Gene,Degree_Centrality
NDN,0.3619047619047619
PPP3CB,0.3619047619047619
GAS7.1,0.35238095238095235
ARHGEF6,0.3476190476190476
TRPC1,0.3462585034013605
SSBP2,0.3442176870748299
SDC2,0.3435374149659864
SLIT2,0.3421768707482993
PLEKHO1,0.34149659863945575
TGFBR3,0.3401360544217687
ILK,0.3401360544217687
EFS,0.33945578231292517
ITPR1,0.33809523809523806
PBXIP1,0.33741496598639453
ZNF671,0.33741496598639453
TMEM47,0.3360544217687075
EMP3,0.33469387755102037
EML1.1,0.33401360544217684
MEF2C,0.3312925170068027
SPARCL1,0.3312925170068027
PRNP,0.3312925170068027
FNBP1,0.3312925170068027
PBX3,0.33061224489795915
SYT11,0.33061224489795915
MPDZ,0.3299319727891156
SSPN,0.3299319727891156
MTMR9,0.3292517006802721
OLFM1,0.3292517006802721
CBX6,0.32857142857142857
PALM,0.32857142857142857
SCN2B,0.327891156462585
PTRF,0.32721088435374146
DIP2C,0.32653061224489793
MLLT11,0.32653061224489793
OLFML2A,0.32653061224489793
ATP6V1G2,0.3258503401360544
FEZ1.1,0.3258503401360544
PRKD1,0.3258503401360544
COX7A1,0.3258503401360544
TUBB,0.3258503401360544
SNCA,0.3258503401360544
SGCE,0.3251700680272109
GABARAPL1,0.3251700680272109
TIMP2,0.32448979591836735
PALLD,0.32448979591836735
FYCO1,0.32380952380952377
SH3BGRL,0.32380952380952377
ACTN1,0.32380952380952377
EHD2,0.3224489795918367
GUCY1A3,0.3224489795918367
STOM.1,0.3224489795918367
YPEL5,0.3224489795918367
RASL12,0.3217687074829932
ITPKB,0.3217687074829932
NCALD,0.3217687074829932
JAM2,0.32108843537414966
FLNA,0.32108843537414966
HCFC1R1,0.32108843537414966
ATP2B4.1,0.32108843537414966
LPP,0.32108843537414966
DAAM2,0.3204081632653061
INPP5A,0.3204081632653061
TSPYL5,0.3204081632653061
ADARB1.1,0.31972789115646255
CAV2,0.31972789115646255
CSRP1,0.31972789115646255
PDLIM7.1,0.319047619047619
BCL2L2,0.3183673469387755
SVIL.1,0.3183673469387755
VCL.1,0.3183673469387755
ZBTB20,0.3183673469387755
ARMCX2,0.31768707482993197
TGFB1I1,0.31768707482993197
OSBPL1A.1,0.3170068027210884
CORO1C,0.3170068027210884
NFIB,0.3170068027210884
BLVRA,0.3170068027210884
FHL3,0.31632653061224486
JAM3,0.31564625850340133
PCDH7,0.3142857142857143
AP1S2,0.31360544217687075
RHOB,0.31360544217687075
CTSF,0.31360544217687075
SLC22A17,0.31360544217687075
RHOQ,0.31292517006802717
LAMB2,0.31292517006802717
EMILIN1,0.31292517006802717
RTN1.1,0.31224489795918364
GNAZ,0.3108843537414966
TUB.1,0.3108843537414966
DPT,0.31020408163265306
AR.1,0.31020408163265306
PJA2,0.3095238095238095
TNS1,0.30884353741496595
DPYSL3,0.30884353741496595
SDPR,0.30884353741496595
DTX3,0.30884353741496595
TCF7L1,0.30884353741496595
OLFM1.2,0.3081632653061224
SLC24A3,0.3074829931972789
